,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
The Shawshank Redemption,"2,616,796","1,298","368,505","1,008,855","266,620","1,466,571",960,"289,437","835,533","215,814","292,786",203,"66,237","157,436","44,810",894,"346,973","931,925"
The Godfather,"1,811,815",891,"234,297","718,024","207,413","1,065,306",653,"192,955","617,524","172,909","164,919",147,"33,319","89,473","29,906",885,"262,221","670,341"
The Dark Knight,"2,588,887","1,515","388,037","1,044,949","196,835","1,482,487","1,138","311,592","873,951","165,681","265,675",204,"63,044","155,202","26,951",928,"367,221","903,588"
The Godfather: Part II,"1,245,205",545,"154,666","501,966","154,057","754,846",386,"131,126","437,211","129,712","104,800",107,"18,930","57,235","21,168",848,"176,162","474,936"
12 Angry Men,"773,133",455,"115,278","295,948","86,249","449,860",347,"93,993","251,879","72,024","76,272",73,"18,105","40,293","12,612",785,"112,693","293,566"
Schindler's List,"1,329,455",527,"164,854","537,103","170,338","753,497",363,"125,876","435,102","137,411","169,915",130,"34,117","93,841","29,328",844,"185,687","517,374"
The Lord of the Rings: The Return of the King,"1,795,678",724,"253,716","739,007","182,698","1,031,926",519,"198,633","601,970","149,656","219,028",131,"47,699","125,775","29,264",898,"247,377","687,507"
Pulp Fiction,"2,004,392",828,"268,364","793,984","226,319","1,147,826",565,"208,260","662,288","187,666","220,626",173,"50,520","119,381","33,865",904,"289,726","745,827"
The Lord of the Rings: The Fellowship of the Ring,"1,816,936",742,"253,534","732,398","198,554","1,027,554",530,"195,671","590,401","161,665","230,255",128,"50,378","130,517","32,597",911,"255,633","692,855"
"The Good, the Bad and the Ugly","749,157",320,"90,027","314,160","111,449","492,620",238,"79,123","284,381","98,073","49,183",59,"8,912","26,023","11,332",811,"113,096","315,399"
Forrest Gump,"2,023,249","1,099","297,393","760,189","198,437","1,065,990",746,"216,689","597,681","157,465","279,008",232,"69,515","149,289","36,397",921,"269,989","710,626"
Fight Club,"2,062,478",938,"298,951","836,724","184,455","1,155,314",662,"228,800","680,485","151,986","250,283",163,"59,858","142,977","28,430",881,"278,822","764,718"
Inception,"2,296,199","1,151","372,972","903,019","178,411","1,265,576",825,"280,815","724,494","146,565","294,485",206,"79,166","162,837","27,617",894,"262,744","838,758"
The Lord of the Rings: The Two Towers,"1,621,588",645,"229,165","662,735","170,182","926,693",474,"178,785","536,576","138,777","202,477",105,"43,846","116,035","27,934",898,"225,905","624,321"
Star Wars: Episode V - The Empire Strikes Back,"1,266,639",760,"157,347","488,591","171,420","752,086",562,"130,070","419,478","145,871","115,283",127,"22,722","62,086","22,358",898,"221,850","451,875"
The Matrix,"1,876,122",919,"230,257","760,941","214,046","1,081,203",682,"183,626","634,559","177,636","200,311",158,"39,320","114,183","31,802",907,"263,573","704,090"
Goodfellas,"1,132,925",463,"138,967","461,257","145,481","696,493",355,"118,301","405,631","123,150","90,832",70,"16,184","49,061","19,424",861,"188,461","426,489"
One Flew Over the Cuckoo's Nest,"991,462",320,"126,843","415,545","137,097","586,133",241,"97,404","340,293","112,060","125,834",57,"26,016","69,677","22,344",846,"157,369","405,725"
Seven,"1,607,817",661,"217,492","648,701","169,738","908,094",474,"169,081","529,188","138,903","191,631",111,"40,742","109,268","27,168",898,"212,179","617,311"
Seven Samurai,"341,699",134,"33,282","148,225","58,300","224,662",99,"29,226","133,491","50,946","24,003",28,"3,409","13,157","6,369",668,"65,896","142,907"
It's a Wonderful Life,"448,814",186,"50,394","163,345","86,943","244,920",128,"37,180","125,838","67,344","70,056",49,"12,038","35,481","18,032",795,"110,857","147,472"
The Silence of the Lambs,"1,399,891",547,"185,642","542,591","177,746","771,961",379,"137,200","433,318","142,691","188,924",117,"42,427","100,701","31,198",906,"209,458","520,896"
City of God,"746,551",169,"91,185","371,930","74,318","491,202",130,"76,089","321,864","64,317","70,627",25,"12,766","45,295","8,663",707,"93,076","349,496"
Saving Private Ryan,"1,361,993",524,"171,199","546,979","166,414","820,915",384,"143,659","472,701","140,565","119,442",88,"22,189","66,002","22,439",872,"208,360","506,741"
Life Is Beautiful,"682,620",258,"92,371","283,787","78,775","368,316",177,"64,206","214,966","63,016","111,012",57,"24,964","63,892","13,966",721,"73,057","291,213"
The Green Mile,"1,271,930",538,"166,482","514,512","142,707","710,114",387,"126,981","411,600","113,721","167,145",98,"33,706","94,147","25,871",860,"158,042","494,103"
Interstellar,"1,759,339","1,151","302,158","570,339","128,797","920,071",834,"235,714","469,600","107,870","180,723",184,"54,607","88,846","17,529",847,"147,900","561,294"
Star Wars,"1,339,391",776,"162,737","515,662","189,960","789,571",583,"132,634","438,532","160,701","129,664",123,"25,407","69,697","25,725",921,"241,224","478,206"
Terminator 2: Judgment Day,"1,078,279",422,"110,559","478,942","143,114","691,654",330,"97,149","424,074","122,679","82,317",62,"11,009","48,246","17,731",891,"168,004","436,514"
Back to the Future,"1,175,259",763,"147,468","459,674","148,841","667,517",557,"114,289","378,719","122,841","134,949",144,"28,442","73,561","22,959",901,"184,618","431,807"
Spirited Away,"742,681",530,"129,701","283,039","57,530","375,521",337,"86,844","213,890","46,323","123,120",142,"38,495","64,673","9,960",682,"90,136","287,456"
Psycho,"659,565",326,"89,150","255,874","97,756","370,518",231,"65,762","203,368","79,318","92,682",70,"20,912","49,168","16,734",866,"118,424","256,346"
The Pianist,"813,969",363,"120,746","339,691","79,474","450,902",258,"87,986","267,667","63,585","118,597",70,"28,760","66,936","14,287",736,"88,577","344,426"
Leon,"1,138,126",441,"150,153","478,267","130,092","668,966",300,"113,333","398,107","109,990","131,880",102,"31,682","72,907","17,437",845,"135,314","480,151"
Parasite,"762,095",759,"123,514","211,381","54,470","342,166",531,"89,810","169,292","43,750","79,181",140,"25,366","35,524","8,776",633,"60,901","237,514"
The Lion King,"1,036,421",733,"171,126","419,489","82,419","539,104",488,"118,321","314,660","63,925","176,432",175,"47,414","98,416","16,807",832,"152,548","381,968"
Gladiator,"1,469,014",479,"182,400","618,246","167,233","873,437",345,"149,578","517,280","138,524","154,772",91,"27,203","91,188","25,218",894,"202,872","571,236"
American History X,"1,105,054",266,"139,633","518,392","110,264","680,265",182,"111,944","430,169","91,949","129,167",62,"23,925","80,729","16,168",817,"161,417","464,573"
The Usual Suspects,"1,068,867",315,"127,524","452,425","147,739","660,924",231,"106,965","389,306","122,962","102,899",57,"17,423","57,255","21,913",838,"172,972","435,742"
The Departed,"1,299,687",396,"174,685","579,555","126,645","797,842",307,"145,173","490,216","105,215","134,358",62,"24,510","81,593","19,048",861,"201,440","517,954"
The Prestige,"1,306,622",502,"206,403","561,422","104,190","765,704",393,"162,121","459,722","85,964","159,781",69,"38,415","93,889","16,213",851,"164,962","527,325"
Casablanca,"564,023",184,"58,341","227,888","104,610","321,586",134,"42,645","178,145","84,794","83,988",39,"14,399","47,049","18,044",807,"119,960","220,170"
Whiplash,"825,742",481,"158,973","280,164","59,084","438,940",353,"121,149","225,753","48,594","100,491",80,"32,554","49,080","9,001",716,"75,633","299,704"
