,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
The Shawshank Redemption,9.3,9.3,9.3,9.3,9.1,9.3,9.4,9.4,9.3,9.1,9.2,9.0,9.3,9.2,9.2,8.9,9.3,9.2
The Godfather,9.2,9.2,9.2,9.2,9.2,9.2,9.3,9.3,9.2,9.2,8.9,9.0,8.9,8.9,9.0,9.1,9.2,9.2
The Dark Knight,9.0,9.2,9.2,9.0,8.4,9.0,9.2,9.3,9.1,8.4,8.7,8.6,8.9,8.7,8.2,8.5,9.1,8.9
The Godfather: Part II,9.0,9.1,9.1,9.0,9.0,9.0,9.2,9.1,9.0,9.0,8.8,8.6,8.8,8.7,8.8,8.8,9.1,9.0
12 Angry Men,9.0,9.3,9.1,9.0,8.8,9.0,9.4,9.2,9.0,8.8,8.9,8.9,9.0,8.9,8.8,8.7,8.9,9.0
Schindler's List,9.0,9.2,9.1,9.0,8.8,9.0,9.2,9.1,9.0,8.8,9.0,9.2,9.1,9.0,8.9,8.7,9.0,8.9
The Lord of the Rings: The Return of the King,9.0,9.1,9.2,8.9,8.7,9.0,9.2,9.2,8.9,8.7,8.9,8.7,9.0,8.9,8.8,8.6,8.9,8.9
Pulp Fiction,8.9,9.0,8.9,8.9,8.8,9.0,9.0,9.0,9.0,8.8,8.5,8.9,8.6,8.5,8.3,8.6,8.9,8.9
The Lord of the Rings: The Fellowship of the Ring,8.8,8.8,9.0,8.8,8.7,8.8,8.9,9.0,8.8,8.6,8.8,8.6,8.9,8.8,8.8,8.6,8.8,8.8
"The Good, the Bad and the Ugly",8.8,9.0,8.9,8.9,8.7,8.9,9.1,9.0,8.9,8.7,8.4,8.5,8.5,8.4,8.2,8.7,8.8,8.8
Forrest Gump,8.8,8.9,8.9,8.8,8.5,8.8,9.0,8.9,8.9,8.5,8.7,8.4,8.8,8.7,8.5,8.2,8.7,8.8
Fight Club,8.8,9.0,8.9,8.9,8.3,8.8,9.0,8.9,8.9,8.3,8.7,8.7,8.8,8.7,8.2,8.2,8.7,8.8
Inception,8.8,9.0,9.0,8.8,8.2,8.8,9.0,9.0,8.8,8.2,8.7,8.9,8.8,8.7,8.1,8.2,8.7,8.7
The Lord of the Rings: The Two Towers,8.8,8.8,8.9,8.7,8.6,8.8,8.8,9.0,8.7,8.5,8.7,8.5,8.8,8.7,8.7,8.5,8.8,8.7
Star Wars: Episode V - The Empire Strikes Back,8.7,8.9,8.7,8.7,8.8,8.8,9.0,8.7,8.7,8.8,8.5,8.2,8.5,8.4,8.6,8.7,9.0,8.6
